Estuary or Subbasin,Lat,Long,Coastwide Planner,Restoration Practitioner,Community Groups Restoration,Community Groups Harvest
Northern Puget Sound,48.484992,-122.585481,0.85,0.70,0.79,0.79
"Discovery Bay, Sequim Bay",47.994967,122.87785,0.63,0.50,0.57,0.61
Central Puget Sound ,,,0.68,0.50,0.64,0.57
Hood Canal,,,0.45,0.20,0.32,0.36
Willapa Bay,,,0.28,0.10,0.14,0.36
Netarts Bay ,45.392818,-123.95574,0.53,0.60,0.54,0.46
Coos Bay ,43.441339,-124.22115,0.43,0.40,0.39,0.36
Tomales Bay ,38.128607,-122.864586,0.63,0.65,0.57,0.64
SF Bay North Bay/San Pablo Bay (north of Richmond Bridge),37.992778,-122.359167,0.30,0.35,0.36,0.21
"SF Bay Richardson Bay, excluding Sausalito ",37.96389,122.4881,0.40,0.55,0.50,0.36
Elkhorn Slough ,36.82495,-121.737901,0.60,1.00,0.75,0.68
Morro Bay,,,0.45,0.65,0.46,0.61
El Estero - Carpinteria Marsh ,,,0.30,0.55,0.39,0.39
Mugu Lagoon ,34.102119,-119.104161,0.30,0.50,0.36,0.43
Long Beach Harbor- Terminal Island area ,,,0.23,0.40,0.29,0.32
Newport Bay,33.622667,-117.892275,0.23,0.20,0.21,0.18
San Diego Bay,,,0.23,0.20,0.14,0.21
Estero de Punta Banda ,,,0.35,0.35,0.25,0.43
Bahia San Quintin,,,0.33,0.30,0.21,0.43
El Coyote,,,0.28,0.20,0.14,0.36
