Estuary or Subbasin,Lat,Long,Ecological ,Harvest ,Community Engagement Restotation,Community Engagement Harvest,Coastwide Conservation 
Northern Puget Sound,48.484992,-122.585481,0.63,1,1,1,0.91
"Discovery Bay, Sequim Bay",47.994967,-122.87785,0.38,0.88,0.75,0.92,0.69
Central Puget Sound ,,,0.38,0.75,1,0.83,0.75
Hood Canal,,,0,0.75,0.63,0.83,0.56
Willapa Bay,,,0.13,0.75,0.25,0.67,0.31
Netarts Bay ,45.392818,-123.95574,0.5,0.63,0.38,0.42,0.53
Coos Bay ,43.441339,-124.22115,0.25,0.63,0.38,0.5,0.47
Tomales Bay ,38.128607,-122.864586,0.63,1,0.38,0.67,0.63
SF Bay North Bay/San Pablo Bay (north of Richmond Bridge),37.992778,-122.359167,0.25,0.25,0.5,0.17,0.31
"SF Bay Richardson Bay, excluding Sausalito ",37.96389,-122.4881,0.5,0.25,0.5,0.17,0.38
Elkhorn Slough ,36.82495,-121.737901,1,0.38,0.38,0.25,0.5
Morro Bay,,,0.75,0.63,0,0.42,0.38
El Estero - Carpinteria Marsh ,,,0.63,0.13,0,0.08,0.22
Mugu Lagoon ,34.102119,-119.104161,0.63,0.25,0,0.17,0.22
Long Beach Harbor- Terminal Island area ,,,0.5,0.13,0,0.08,0.16
Newport Bay,33.622667,-117.892275,0.13,0.38,0.38,0.25,0.25
San Diego Bay,,,0.13,0.5,0.25,0.33,0.25
Estero de Punta Banda ,,,0.38,0.75,0,0.5,0.34
Bahia San Quintin,,,0.38,0.75,0,0.5,0.31
El Coyote,,,0.25,0.75,0,0.5,0.28
