Estuary or Subbasin,Ecological ,Harvest ,Community Engagement Restotation,Community Engagement Harvest,Coastwide Coservation ,Coastwide Planner,Restoration Practitioner,Community Groups Restoration,Community Groups Harvest
Northern Puget Sound,0.63,1,1,1,0.91,0.85,0.7,0.79,0.79
"Discovery Bay, Sequim Bay",0.38,0.88,0.75,0.92,0.69,0.63,0.5,0.57,0.61
Central Puget Sound ,0.38,0.75,1,0.83,0.75,0.68,0.5,0.64,0.57
Hood Canal,0,0.75,0.63,0.83,0.56,0.45,0.2,0.32,0.36
Willapa Bay,0.13,0.75,0.25,0.67,0.31,0.28,0.1,0.14,0.36
Netarts Bay ,0.5,0.63,0.38,0.42,0.53,0.53,0.6,0.54,0.46
Coos Bay ,0.25,0.63,0.38,0.5,0.47,0.43,0.4,0.39,0.36
Tomales Bay ,0.63,1,0.38,0.67,0.63,0.63,0.65,0.57,0.64
SF Bay North Bay/San Pablo Bay (north of Richmond Bridge),0.25,0.25,0.5,0.17,0.31,0.3,0.35,0.36,0.21
"SF Bay Richardson Bay, excluding Sausalito ",0.5,0.25,0.5,0.17,0.38,0.4,0.55,0.5,0.36
Elkhorn Slough ,1,0.38,0.38,0.25,0.5,0.6,1,0.75,0.68
Morro Bay,0.75,0.63,0,0.42,0.38,0.45,0.65,0.46,0.61
El Estero - Carpinteria Marsh ,0.63,0.13,0,0.08,0.22,0.3,0.55,0.39,0.39
Mugu Lagoon ,0.63,0.25,0,0.17,0.22,0.3,0.5,0.36,0.43
Long Beach Harbor- Terminal Island area ,0.5,0.13,0,0.08,0.16,0.23,0.4,0.29,0.32
Newport Bay,0.13,0.38,0.38,0.25,0.25,0.23,0.2,0.21,0.18
San Diego Bay,0.13,0.5,0.25,0.33,0.25,0.23,0.2,0.14,0.21
Estero de Punta Banda ,0.38,0.75,0,0.5,0.34,0.35,0.35,0.25,0.43
Bahia San Quintin,0.38,0.75,0,0.5,0.31,0.33,0.3,0.21,0.43
El Coyote,0.25,0.75,0,0.5,0.28,0.28,0.2,0.14,0.36
